game_id,config,seat_0_agent,seat_1_agent,seat_2_agent,seat_3_agent,placement_1,placement_2,placement_3,placement_4
3,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,History,PUCT,Neural_MLP_Trans
0,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,Neural_MLP_SELF,PUCT,History,Neural_MLP_Trans,PUCT,Neural_MLP_SELF,History
4,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,PUCT,History,Neural_MLP_SELF,Neural_MLP_SELF,History,PUCT,Neural_MLP_Trans
5,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,PUCT,History,Neural_MLP_Trans,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History
6,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT,History,Neural_MLP_SELF,Neural_MLP_Trans,PUCT
7,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF,PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,PUCT
2,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_Trans,Neural_MLP_SELF,PUCT,PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF
1,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,Neural_MLP_Trans,PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History
10,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_SELF,Neural_MLP_Trans,PUCT,PUCT,Neural_MLP_Trans,Neural_MLP_SELF,History
9,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT
8,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF,PUCT,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History
11,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,PUCT,History,Neural_MLP_SELF,Neural_MLP_Trans,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History
12,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,Neural_MLP_SELF,History,PUCT,Neural_MLP_Trans
14,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,Neural_MLP_SELF,History,PUCT
13,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF,PUCT,History,Neural_MLP_Trans,Neural_MLP_SELF,PUCT
15,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History
17,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT
16,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,PUCT,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans
20,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,PUCT,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History
18,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History
23,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_Trans,Neural_MLP_SELF,PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,PUCT
22,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_Trans,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,PUCT,Neural_MLP_Trans,History
19,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_Trans,History,PUCT,Neural_MLP_SELF,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT
21,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History,PUCT,Neural_MLP_SELF,History,Neural_MLP_Trans,PUCT
27,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,PUCT,Neural_MLP_SELF,Neural_MLP_Trans,History,History,Neural_MLP_SELF,PUCT,Neural_MLP_Trans
24,History_Neural_MLP_SELF_Neural_MLP_Trans_PUCT,History,Neural_MLP_Trans,Neural_MLP_SELF,PUCT,History,PUCT,Neural_MLP_SELF,Neural_MLP_Trans
