game_id,p1,p2,p3,p4
4,ISMCTS-PUCT,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
9,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
10,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
7,ISMCTS-PUCT,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
2,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
1,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
5,ISMCTS-PUCT,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
8,Heuristic,ISMCTS-PUCT,ISMCTS-Heuristic,ISMCTS-Basic
6,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
11,ISMCTS-History,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
0,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
3,ISMCTS-PUCT,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
13,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
14,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
16,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
17,ISMCTS-History,Heuristic,ISMCTS-Basic,ISMCTS-Heuristic
12,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
15,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
19,ISMCTS-History,Heuristic,ISMCTS-Heuristic,ISMCTS-Basic
18,Heuristic,ISMCTS-History,ISMCTS-Basic,ISMCTS-Heuristic
20,ISMCTS-History,Heuristic,ISMCTS-PUCT,ISMCTS-Basic
21,ISMCTS-PUCT,Heuristic,ISMCTS-History,ISMCTS-Basic
22,ISMCTS-PUCT,Heuristic,ISMCTS-History,ISMCTS-Basic
25,ISMCTS-History,Heuristic,ISMCTS-PUCT,ISMCTS-Basic
24,ISMCTS-History,Heuristic,ISMCTS-PUCT,ISMCTS-Basic
26,ISMCTS-PUCT,ISMCTS-History,Heuristic,ISMCTS-Basic
23,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Basic
30,ISMCTS-History,Heuristic,ISMCTS-PUCT,ISMCTS-Heuristic
27,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Basic
29,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Basic
28,ISMCTS-PUCT,ISMCTS-History,Heuristic,ISMCTS-Basic
32,ISMCTS-PUCT,Heuristic,ISMCTS-History,ISMCTS-Heuristic
31,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic
35,ISMCTS-History,Heuristic,ISMCTS-PUCT,ISMCTS-Heuristic
37,ISMCTS-PUCT,Heuristic,ISMCTS-History,ISMCTS-Heuristic
33,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic
36,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic
34,ISMCTS-History,ISMCTS-PUCT,Heuristic,ISMCTS-Heuristic
39,ISMCTS-PUCT,ISMCTS-History,Heuristic,ISMCTS-Heuristic
38,ISMCTS-PUCT,ISMCTS-History,Heuristic,ISMCTS-Heuristic
42,ISMCTS-History,ISMCTS-PUCT,ISMCTS-Heuristic,ISMCTS-Basic
41,ISMCTS-History,ISMCTS-PUCT,ISMCTS-Heuristic,ISMCTS-Basic
43,ISMCTS-PUCT,ISMCTS-History,ISMCTS-Heuristic,ISMCTS-Basic
44,ISMCTS-History,ISMCTS-PUCT,ISMCTS-Basic,ISMCTS-Heuristic
40,ISMCTS-History,ISMCTS-PUCT,ISMCTS-Basic,ISMCTS-Heuristic
46,ISMCTS-PUCT,ISMCTS-History,ISMCTS-Basic,ISMCTS-Heuristic
47,ISMCTS-PUCT,ISMCTS-History,ISMCTS-Heuristic,ISMCTS-Basic
45,ISMCTS-History,ISMCTS-PUCT,ISMCTS-Basic,ISMCTS-Heuristic
48,ISMCTS-PUCT,ISMCTS-History,ISMCTS-Basic,ISMCTS-Heuristic
49,ISMCTS-PUCT,ISMCTS-History,ISMCTS-Heuristic,ISMCTS-Basic
