game_id, config, placement_1     , placement_2     , placement_3
      3, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
      0, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
      1, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
      4, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
      7, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
      5, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
      2, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
      6, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     14, A2_B1 , ISMCTS-Basic    , ISMCTS-Heuristic, ISMCTS-Basic
     12, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     15, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
      8, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     10, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
      9, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     11, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     13, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     19, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     17, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     18, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     21, A2_B1 , ISMCTS-Heuristic, ISMCTS-Basic    , ISMCTS-Basic
     22, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
     16, A2_B1 , ISMCTS-Basic    , ISMCTS-Basic    , ISMCTS-Heuristic
