game_id, p1            , p2              , p3              , p4
      7, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
      4, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
      3, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
      5, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
      1, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
      6, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
      2, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
      0, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
      8, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     11, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     14, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     12, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
      9, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     13, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     10, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     15, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     16, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     20, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     18, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     19, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     21, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     22, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     17, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     23, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     25, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     26, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     24, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     28, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     29, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     27, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     30, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     33, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     31, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     32, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     34, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     36, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     35, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     37, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     38, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     41, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     40, Heuristic     , ISMCTS-PUCT     , ISMCTS-Basic    , ISMCTS-Heuristic
     44, Heuristic     , ISMCTS-PUCT     , ISMCTS-Heuristic, ISMCTS-Basic
     45, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     39, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     43, ISMCTS-PUCT   , Heuristic       , ISMCTS-Basic    , ISMCTS-Heuristic
     46, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
     42, ISMCTS-PUCT   , Heuristic       , ISMCTS-Heuristic, ISMCTS-Basic
